                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                 1.4555,                 1.0323,                  1.415,                      0,                      0,                      0,                      0,                 6.7083,                  4.115,                 4.7138,              0.0014451,              0.0014451,              0.0014451
                     38,                 1.5734,                 1.0242,                 1.3837,                      0,                      0,                      0,                      0,                  6.699,                 4.0427,                  4.651,              0.0014821,              0.0014821,              0.0014821
                     39,                 1.5917,                 1.1388,                 1.3904,                      0,                      0,                      0,                      0,                  6.699,                 4.0427,                  4.651,               0.001519,               0.001519,               0.001519
                     40,                 1.5558,                 1.0559,                 1.3138,                      0,                      0,                      0,                      0,                  6.705,                 4.0803,                 4.6837,              0.0015558,              0.0015558,              0.0015558
                     41,                 1.4729,                0.91491,                 1.2076,                      0,                      0,                      0,                      0,                 6.7036,                 4.0224,                 4.6583,              0.0015926,              0.0015926,              0.0015926
                     42,                 1.5378,                 1.0353,                 1.2771,                      0,                      0,                      0,                      0,                 6.7036,                 4.0224,                 4.6583,              0.0016293,              0.0016293,              0.0016293
                     43,                 1.4666,                 1.0321,                 1.2945,                      0,                      0,                      0,                      0,                 6.6906,                 3.9287,                 4.5675,              0.0016659,              0.0016659,              0.0016659
                     44,                 1.2755,                 1.0243,                   1.33,                      0,                      0,                      0,                      0,                 6.6906,                 3.9287,                 4.5675,              0.0017025,              0.0017025,              0.0017025
                     45,                 1.4527,                0.96161,                 1.1745,                      0,                      0,                      0,                      0,                 6.6415,                  3.814,                 4.3438,              0.0017389,              0.0017389,              0.0017389
                     46,                 1.6376,                 1.0896,                 1.3053,                      0,                      0,                      0,                      0,                 6.6415,                  3.814,                 4.3438,              0.0017753,              0.0017753,              0.0017753
                     47,                 1.6758,                 1.0546,                 1.2485,                      0,                      0,                      0,                      0,                 6.5762,                 3.7124,                 4.1904,              0.0018116,              0.0018116,              0.0018116
                     48,                 1.3843,                0.96112,                 1.2532,                      0,                      0,                      0,                      0,                 6.5762,                 3.7124,                 4.1904,              0.0018478,              0.0018478,              0.0018478
                     49,                 1.3921,                0.92538,                 1.1806,                0.00067,                0.00223,                0.00037,                  7e-05,                 6.2371,                 3.4129,                  3.807,               0.001884,               0.001884,               0.001884
                     50,                 1.7414,                0.96385,                 1.2597,                0.00067,                0.00223,                0.00037,                  7e-05,                 6.2371,                 3.4129,                  3.807,               0.001901,               0.001901,               0.001901
                     51,                 1.5539,                 0.9872,                 1.2856,                0.01393,                 0.1314,                0.02818,                0.00529,                 4.7726,                 2.8109,                  3.133,               0.001901,               0.001901,               0.001901
                     52,                 1.4069,                0.94591,                 1.2145,                0.01393,                 0.1314,                0.02818,                0.00529,                 4.7726,                 2.8109,                  3.133,               0.001899,               0.001899,               0.001899
                     53,                 1.3306,                0.91933,                 1.2688,                0.04337,                0.52339,                0.17432,                0.05075,                 3.5145,                 2.5879,                 2.7086,               0.001897,               0.001897,               0.001897
                     54,                 1.6526,                 1.2029,                 1.4372,                0.04337,                0.52339,                0.17432,                0.05075,                 3.5145,                 2.5879,                 2.7086,              0.0018951,              0.0018951,              0.0018951
                     55,                 1.5675,                 1.0646,                 1.2561,                0.27636,                0.63697,                0.33645,                0.11966,                 2.2997,                 2.2382,                 2.1696,              0.0018931,              0.0018931,              0.0018931
                     56,                 1.3551,                 1.0072,                 1.2074,                0.27636,                0.63697,                0.33645,                0.11966,                 2.2997,                 2.2382,                 2.1696,              0.0018911,              0.0018911,              0.0018911
                     57,                 1.4416,                 1.0585,                 1.1885,                0.38622,                0.48775,                0.37755,                0.13884,                 1.8183,                 1.8472,                 1.7387,              0.0018891,              0.0018891,              0.0018891
                     58,                  1.387,                0.92596,                  1.132,                0.38622,                0.48775,                0.37755,                0.13884,                 1.8183,                 1.8472,                 1.7387,              0.0018871,              0.0018871,              0.0018871
                     59,                 1.2266,                0.96445,                 1.1524,                0.52316,                0.65732,                0.55408,                0.23637,                 1.5925,                 1.4937,                 1.5044,              0.0018852,              0.0018852,              0.0018852
                     60,                 1.1966,                0.94085,                 1.1425,                0.52316,                0.65732,                0.55408,                0.23637,                 1.5925,                 1.4937,                 1.5044,              0.0018832,              0.0018832,              0.0018832
                     61,                 1.3858,                0.99957,                 1.1606,                0.63686,                0.73821,                0.71085,                0.38139,                 1.4374,                  1.242,                 1.3136,              0.0018812,              0.0018812,              0.0018812
                     62,                 1.2543,                0.96326,                 1.1423,                0.63686,                0.73821,                0.71085,                0.38139,                 1.4374,                  1.242,                 1.3136,              0.0018792,              0.0018792,              0.0018792
                     63,                 1.2531,                0.97303,                 1.1142,                0.73569,                0.73051,                 0.7687,                0.37823,                 1.4848,                 1.1443,                 1.2653,              0.0018772,              0.0018772,              0.0018772
                     64,                 1.3799,                0.99207,                  1.232,                0.73569,                0.73051,                 0.7687,                0.37823,                 1.4848,                 1.1443,                 1.2653,              0.0018753,              0.0018753,              0.0018753
                     65,                 1.2596,                0.87352,                 1.0944,                0.69709,                0.72269,                0.72124,                0.43323,                 1.5164,                 1.1389,                 1.3106,              0.0018733,              0.0018733,              0.0018733
                     66,                  1.227,                0.94479,                 1.1426,                0.69709,                0.72269,                0.72124,                0.43323,                 1.5164,                 1.1389,                 1.3106,              0.0018713,              0.0018713,              0.0018713
                     67,                 1.1656,                0.87937,                 1.1283,                0.41918,                0.73779,                0.38212,                0.24938,                 1.3541,                 1.4465,                 1.2321,              0.0018693,              0.0018693,              0.0018693
                     68,                 1.1518,                0.85684,                 1.1002,                0.41918,                0.73779,                0.38212,                0.24938,                 1.3541,                 1.4465,                 1.2321,              0.0018673,              0.0018673,              0.0018673
                     69,                 1.1697,                0.85632,                 1.0959,                 0.0154,                0.21158,                0.00932,                0.00552,                 1.3926,                    inf,                 1.2254,              0.0018654,              0.0018654,              0.0018654
                     70,                 1.1294,                0.90136,                 1.0981,                 0.0154,                0.21158,                0.00932,                0.00552,                 1.3926,                    inf,                 1.2254,              0.0018634,              0.0018634,              0.0018634
                     71,                 1.1312,                0.87355,                 1.0849,                0.00558,                0.07795,                0.00307,                0.00147,                 1.3617,                    inf,                 1.2559,              0.0018614,              0.0018614,              0.0018614
                     72,                 1.0925,                0.86315,                 1.1499,                0.00558,                0.07795,                0.00307,                0.00147,                 1.3617,                    inf,                 1.2559,              0.0018594,              0.0018594,              0.0018594
                     73,                 1.1961,                0.90727,                 1.0815,                 0.0046,                0.06459,                0.00249,                0.00113,                 1.3865,                    inf,                 1.2284,              0.0018574,              0.0018574,              0.0018574
                     74,                 1.2221,                0.95152,                 1.1909,                 0.0046,                0.06459,                0.00249,                0.00113,                 1.3865,                    inf,                 1.2284,              0.0018555,              0.0018555,              0.0018555
                     75,                 1.2096,                0.91638,                 1.0811,                0.03357,                0.46993,                 0.0247,                0.01491,                 1.3318,                    inf,                 1.1957,              0.0018535,              0.0018535,              0.0018535
                     76,                 1.0713,                0.84843,                 1.0929,                0.03357,                0.46993,                 0.0247,                0.01491,                 1.3318,                    inf,                 1.1957,              0.0018515,              0.0018515,              0.0018515
                     77,                 1.0761,                0.87307,                 1.1026,                0.55323,                0.75724,                0.53059,                0.34863,                 1.2689,                 1.8553,                 1.1422,              0.0018495,              0.0018495,              0.0018495
                     78,                  1.094,                0.82596,                  1.106,                0.55323,                0.75724,                0.53059,                0.34863,                 1.2689,                 1.8553,                 1.1422,              0.0018475,              0.0018475,              0.0018475
