                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                 1.5124,                 1.0693,                 1.5235,                      0,                      0,                      0,                      0,                 6.6528,                 4.0061,                 4.4626,              0.0014451,              0.0014451,              0.0014451
                     38,                 1.5072,                0.97883,                 1.4764,                      0,                      0,                      0,                      0,                 6.6533,                 4.0177,                 4.4701,              0.0014821,              0.0014821,              0.0014821
                     39,                 1.3095,                 0.9329,                 1.3603,                      0,                      0,                      0,                      0,                 6.6533,                 4.0177,                 4.4701,               0.001519,               0.001519,               0.001519
                     40,                 1.5115,                0.94723,                 1.3569,                      0,                      0,                      0,                      0,                 6.6547,                 4.0159,                 4.4847,              0.0015558,              0.0015558,              0.0015558
                     41,                 1.6845,                  1.009,                  1.318,                      0,                      0,                      0,                      0,                 6.6555,                 4.0636,                  4.488,              0.0015926,              0.0015926,              0.0015926
                     42,                  1.567,                 1.0324,                 1.3425,                      0,                      0,                      0,                      0,                 6.6555,                 4.0636,                  4.488,              0.0016293,              0.0016293,              0.0016293
                     43,                 1.5796,                 1.0241,                  1.379,                      0,                      0,                      0,                      0,                 6.6533,                 4.0546,                 4.4727,              0.0016659,              0.0016659,              0.0016659
                     44,                 1.4996,                 1.1305,                 1.5056,                      0,                      0,                      0,                      0,                 6.6533,                 4.0546,                 4.4727,              0.0017025,              0.0017025,              0.0017025
                     45,                 1.5958,                0.99895,                 1.3177,                      0,                      0,                      0,                      0,                 6.6414,                 4.0204,                 4.4183,              0.0017389,              0.0017389,              0.0017389
                     46,                 1.3751,                 1.0562,                 1.3262,                      0,                      0,                      0,                      0,                 6.6414,                 4.0204,                 4.4183,              0.0017753,              0.0017753,              0.0017753
                     47,                 1.6765,                  1.026,                 1.2952,                      0,                      0,                      0,                      0,                 6.6248,                  3.976,                 4.3539,              0.0018116,              0.0018116,              0.0018116
                     48,                 1.6484,                 1.0132,                 1.4062,                      0,                      0,                      0,                      0,                 6.6248,                  3.976,                 4.3539,              0.0018478,              0.0018478,              0.0018478
                     49,                 1.6659,                0.98776,                 1.3475,                      0,                      0,                      0,                      0,                 6.6127,                 3.9203,                 4.3196,               0.001884,               0.001884,               0.001884
                     50,                 1.3749,                 0.9114,                 1.2453,                      0,                      0,                      0,                      0,                 6.6127,                 3.9203,                 4.3196,               0.001901,               0.001901,               0.001901
                     51,                 1.3617,                0.93778,                 1.3184,                      0,                      0,                      0,                      0,                 6.6149,                 3.9447,                 4.3201,               0.001901,               0.001901,               0.001901
                     52,                 1.7549,                 1.0367,                 1.3413,                      0,                      0,                      0,                      0,                 6.6149,                 3.9447,                 4.3201,               0.001899,               0.001899,               0.001899
