                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                  1.439,                 1.0757,                 1.7064,                      0,                      0,                      0,                      0,                 6.7463,                  4.218,                 4.9367,              0.0014451,              0.0014451,              0.0014451
                     38,                 1.5785,                 1.0514,                  1.605,                      0,                      0,                      0,                      0,                 6.7389,                 4.1883,                  4.885,              0.0014821,              0.0014821,              0.0014821
                     39,                  1.558,                 1.0954,                 1.5689,                      0,                      0,                      0,                      0,                 6.7389,                 4.1883,                  4.885,               0.001519,               0.001519,               0.001519
                     40,                 1.5203,                 1.0547,                 1.4645,                      0,                      0,                      0,                      0,                 6.7383,                   4.18,                 4.8962,              0.0015558,              0.0015558,              0.0015558
                     41,                 1.4722,                0.96267,                  1.351,                      0,                      0,                      0,                      0,                 6.7477,                 4.2194,                 4.9847,              0.0015926,              0.0015926,              0.0015926
                     42,                 1.5025,                  1.029,                 1.4509,                      0,                      0,                      0,                      0,                 6.7477,                 4.2194,                 4.9847,              0.0016293,              0.0016293,              0.0016293
                     43,                 1.4242,                 1.0661,                 1.4993,                      0,                      0,                      0,                      0,                 6.7494,                 4.2553,                 5.0172,              0.0016659,              0.0016659,              0.0016659
                     44,                 1.4008,                  1.105,                 1.6039,                      0,                      0,                      0,                      0,                 6.7494,                 4.2553,                 5.0172,              0.0017025,              0.0017025,              0.0017025
                     45,                 1.4459,                 1.0091,                 1.3606,                      0,                      0,                      0,                      0,                 6.7395,                 4.2561,                 4.9516,              0.0017389,              0.0017389,              0.0017389
                     46,                 1.5621,                  1.014,                 1.4403,                      0,                      0,                      0,                      0,                 6.7395,                 4.2561,                 4.9516,              0.0017753,              0.0017753,              0.0017753
                     47,                 1.7538,                 1.0084,                 1.3626,                      0,                      0,                      0,                      0,                 6.7397,                 4.2731,                  4.965,              0.0018116,              0.0018116,              0.0018116
                     48,                 1.4902,                 1.0036,                 1.4133,                      0,                      0,                      0,                      0,                 6.7397,                 4.2731,                  4.965,              0.0018478,              0.0018478,              0.0018478
                     49,                 1.4978,                0.96629,                 1.3309,                      0,                      0,                      0,                      0,                 6.7402,                 4.2777,                 4.9784,               0.001884,               0.001884,               0.001884
                     50,                 1.4531,                0.92363,                 1.2736,                      0,                      0,                      0,                      0,                 6.7402,                 4.2777,                 4.9784,               0.001901,               0.001901,               0.001901
                     51,                 1.3189,                0.97355,                 1.3557,                      0,                      0,                      0,                      0,                 6.7287,                 4.2117,                 4.8835,               0.001901,               0.001901,               0.001901
                     52,                 1.4709,                0.98883,                 1.3271,                      0,                      0,                      0,                      0,                 6.7287,                 4.2117,                 4.8835,               0.001899,               0.001899,               0.001899
                     53,                  1.478,                0.95312,                 1.4105,                      0,                      0,                      0,                      0,                 6.7106,                 4.1461,                 4.7556,               0.001897,               0.001897,               0.001897
                     54,                 1.3331,                 1.0556,                 1.4109,                      0,                      0,                      0,                      0,                 6.7106,                 4.1461,                 4.7556,              0.0018951,              0.0018951,              0.0018951
                     55,                 1.2276,                0.92069,                  1.235,                      0,                      0,                      0,                      0,                  6.687,                 4.1132,                 4.6133,              0.0018931,              0.0018931,              0.0018931
                     56,                 1.3016,                0.92578,                  1.256,                      0,                      0,                      0,                      0,                  6.687,                 4.1132,                 4.6133,              0.0018911,              0.0018911,              0.0018911
                     57,                 1.4349,                0.96704,                 1.2461,                      0,                      0,                      0,                      0,                 6.6792,                 4.1387,                 4.5664,              0.0018891,              0.0018891,              0.0018891
                     58,                  1.324,                0.90443,                  1.197,                      0,                      0,                      0,                      0,                 6.6792,                 4.1387,                 4.5664,              0.0018871,              0.0018871,              0.0018871
                     59,                 1.2407,                0.94093,                 1.2559,                      0,                      0,                      0,                      0,                 6.6696,                 4.1599,                  4.521,              0.0018852,              0.0018852,              0.0018852
                     60,                 1.1685,                0.92231,                 1.2211,                      0,                      0,                      0,                      0,                 6.6696,                 4.1599,                  4.521,              0.0018832,              0.0018832,              0.0018832
                     61,                 1.2835,                0.94181,                 1.2036,                      0,                      0,                      0,                      0,                 6.6022,                 4.1078,                 4.3152,              0.0018812,              0.0018812,              0.0018812
                     62,                 1.3391,                0.95189,                 1.2559,                      0,                      0,                      0,                      0,                 6.6022,                 4.1078,                 4.3152,              0.0018792,              0.0018792,              0.0018792
                     63,                 1.3623,                0.97381,                 1.1997,                      0,                      0,                      0,                      0,                 6.3115,                 3.8742,                 3.8618,              0.0018772,              0.0018772,              0.0018772
                     64,                 1.2841,                0.96075,                 1.3091,                      0,                      0,                      0,                      0,                 6.3115,                 3.8742,                 3.8618,              0.0018753,              0.0018753,              0.0018753
                     65,                 1.2462,                0.87868,                 1.1536,                0.00311,                0.04232,                0.01125,                0.00351,                 5.4196,                 3.4137,                 3.2658,              0.0018733,              0.0018733,              0.0018733
                     66,                 1.1968,                0.89156,                 1.2012,                0.00311,                0.04232,                0.01125,                0.00351,                 5.4196,                 3.4137,                 3.2658,              0.0018713,              0.0018713,              0.0018713
                     67,                 1.1475,                0.83842,                 1.1806,                0.02382,                0.33408,                 0.1825,                0.08264,                 3.5845,                 2.8201,                 2.6078,              0.0018693,              0.0018693,              0.0018693
                     68,                 1.1649,                 0.8346,                 1.1739,                0.02382,                0.33408,                 0.1825,                0.08264,                 3.5845,                 2.8201,                 2.6078,              0.0018673,              0.0018673,              0.0018673
                     69,                 1.1725,                0.83358,                 1.1591,                0.60001,                0.46771,                0.50634,                 0.2348,                 2.2285,                  2.262,                 2.1355,              0.0018654,              0.0018654,              0.0018654
                     70,                 1.1934,                0.92863,                 1.1948,                0.60001,                0.46771,                0.50634,                 0.2348,                 2.2285,                  2.262,                 2.1355,              0.0018634,              0.0018634,              0.0018634
                     71,                   1.17,                0.86608,                 1.1727,                0.83004,                0.47857,                0.68618,                0.33851,                 1.6398,                 1.7905,                 1.7567,              0.0018614,              0.0018614,              0.0018614
                     72,                 1.1918,                0.90346,                 1.2843,                0.83004,                0.47857,                0.68618,                0.33851,                 1.6398,                 1.7905,                 1.7567,              0.0018594,              0.0018594,              0.0018594
                     73,                 1.1722,                0.96763,                 1.1565,                0.82172,                0.61591,                 0.7747,                0.46422,                 1.3131,                 1.4743,                 1.4984,              0.0018574,              0.0018574,              0.0018574
                     74,                 1.2184,                0.96192,                  1.307,                0.82172,                0.61591,                 0.7747,                0.46422,                 1.3131,                 1.4743,                 1.4984,              0.0018555,              0.0018555,              0.0018555
                     75,                 1.2147,                0.90546,                 1.1132,                0.78986,                 0.7618,                0.82817,                0.46911,                 1.3193,                 1.1611,                 1.3797,              0.0018535,              0.0018535,              0.0018535
                     76,                 1.1864,                0.85745,                 1.1449,                0.78986,                 0.7618,                0.82817,                0.46911,                 1.3193,                 1.1611,                 1.3797,              0.0018515,              0.0018515,              0.0018515
                     77,                 1.2033,                0.90373,                 1.1693,                0.81819,                0.80184,                0.86957,                 0.4799,                  1.407,                0.95067,                 1.3218,              0.0018495,              0.0018495,              0.0018495
                     78,                 1.0987,                0.83821,                 1.1576,                0.81819,                0.80184,                0.86957,                 0.4799,                  1.407,                0.95067,                 1.3218,              0.0018475,              0.0018475,              0.0018475
