                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                 1.5099,                  1.007,                 1.5315,                      0,                      0,                      0,                      0,                 6.6725,                 3.9916,                 4.5331,              0.0014451,              0.0014451,              0.0014451
                     38,                 1.7341,                 1.0175,                 1.5005,                      0,                      0,                      0,                      0,                 6.6772,                 4.0319,                 4.5671,              0.0014821,              0.0014821,              0.0014821
                     39,                 1.3295,                0.95593,                 1.3566,                      0,                      0,                      0,                      0,                 6.6772,                 4.0319,                 4.5671,               0.001519,               0.001519,               0.001519
                     40,                  1.682,                0.99317,                 1.3712,                      0,                      0,                      0,                      0,                  6.681,                 4.0713,                 4.5995,              0.0015558,              0.0015558,              0.0015558
                     41,                 1.9717,                 1.0069,                 1.3551,                      0,                      0,                      0,                      0,                 6.6818,                  4.055,                 4.6003,              0.0015926,              0.0015926,              0.0015926
                     42,                 1.6294,                 1.0119,                  1.381,                      0,                      0,                      0,                      0,                 6.6818,                  4.055,                 4.6003,              0.0016293,              0.0016293,              0.0016293
                     43,                  1.545,                 1.0247,                 1.4165,                      0,                      0,                      0,                      0,                 6.6841,                 4.0022,                 4.5999,              0.0016659,              0.0016659,              0.0016659
                     44,                 1.5943,                 1.1039,                 1.5282,                      0,                      0,                      0,                      0,                 6.6841,                 4.0022,                 4.5999,              0.0017025,              0.0017025,              0.0017025
                     45,                 1.6248,                 1.0423,                  1.319,                      0,                      0,                      0,                      0,                 6.6887,                 3.9571,                 4.6074,              0.0017389,              0.0017389,              0.0017389
                     46,                 1.3877,                0.96616,                 1.2972,                      0,                      0,                      0,                      0,                 6.6887,                 3.9571,                 4.6074,              0.0017753,              0.0017753,              0.0017753
                     47,                 1.5991,                0.98549,                 1.2587,                      0,                      0,                      0,                      0,                 6.6945,                 3.9369,                  4.607,              0.0018116,              0.0018116,              0.0018116
                     48,                 1.7277,                 1.0715,                 1.4201,                      0,                      0,                      0,                      0,                 6.6945,                 3.9369,                  4.607,              0.0018478,              0.0018478,              0.0018478
                     49,                 1.8539,                 1.0475,                 1.3654,                      0,                      0,                      0,                      0,                 6.6795,                 3.7837,                 4.4765,               0.001884,               0.001884,               0.001884
                     50,                 1.6345,                0.99637,                 1.3288,                      0,                      0,                      0,                      0,                 6.6795,                 3.7837,                 4.4765,               0.001901,               0.001901,               0.001901
                     51,                 1.4847,                 1.0089,                 1.3734,                0.00361,                0.00668,                0.00305,                 0.0003,                 6.3311,                  3.288,                 4.0414,               0.001901,               0.001901,               0.001901
                     52,                 1.4262,                 1.0626,                 1.3015,                0.00361,                0.00668,                0.00305,                 0.0003,                 6.3311,                  3.288,                 4.0414,               0.001899,               0.001899,               0.001899
                     53,                 1.3968,                0.98049,                 1.3951,                0.03552,                0.16036,                 0.0924,                0.02429,                 4.6622,                 2.5018,                 3.2207,               0.001897,               0.001897,               0.001897
                     54,                 1.3594,                 1.0233,                 1.4028,                0.03552,                0.16036,                 0.0924,                0.02429,                 4.6622,                 2.5018,                 3.2207,              0.0018951,              0.0018951,              0.0018951
                     55,                 1.2528,                0.89804,                 1.2168,                0.57531,                0.27455,                0.34394,                0.11556,                 2.7949,                 2.0012,                 2.4469,              0.0018931,              0.0018931,              0.0018931
                     56,                 1.3311,                0.94344,                 1.2256,                0.57531,                0.27455,                0.34394,                0.11556,                 2.7949,                 2.0012,                 2.4469,              0.0018911,              0.0018911,              0.0018911
                     57,                 1.5427,                 1.0138,                 1.2564,                0.41927,                0.48239,                0.39048,                 0.1383,                 1.9199,                 1.7205,                 1.8491,              0.0018891,              0.0018891,              0.0018891
                     58,                 1.3292,                0.95296,                 1.1745,                0.41927,                0.48239,                0.39048,                 0.1383,                 1.9199,                 1.7205,                 1.8491,              0.0018871,              0.0018871,              0.0018871
                     59,                 1.2053,                0.97609,                 1.2152,                0.60151,                0.55234,                0.57577,                0.24722,                 1.8294,                 1.2916,                 1.6431,              0.0018852,              0.0018852,              0.0018852
                     60,                 1.2645,                0.90784,                 1.1936,                0.60151,                0.55234,                0.57577,                0.24722,                 1.8294,                 1.2916,                 1.6431,              0.0018832,              0.0018832,              0.0018832
                     61,                 1.4076,                0.97534,                 1.1962,                0.68782,                0.70173,                0.72875,                  0.354,                 1.6445,                 1.1027,                 1.4966,              0.0018812,              0.0018812,              0.0018812
                     62,                 1.3912,                0.96769,                 1.2331,                0.68782,                0.70173,                0.72875,                  0.354,                 1.6445,                 1.1027,                 1.4966,              0.0018792,              0.0018792,              0.0018792
                     63,                 1.4282,                 1.0135,                 1.1974,                0.68941,                0.67233,                0.71364,                0.28977,                 1.6282,                 1.1525,                 1.4388,              0.0018772,              0.0018772,              0.0018772
                     64,                  1.231,                0.98692,                 1.2552,                0.68941,                0.67233,                0.71364,                0.28977,                 1.6282,                 1.1525,                 1.4388,              0.0018753,              0.0018753,              0.0018753
                     65,                 1.2417,                0.88668,                  1.125,                0.67253,                0.77758,                0.76404,                0.29735,                 1.7096,                 1.1705,                 1.4164,              0.0018733,              0.0018733,              0.0018733
                     66,                 1.3237,                0.94129,                 1.2105,                0.67253,                0.77758,                0.76404,                0.29735,                 1.7096,                 1.1705,                 1.4164,              0.0018713,              0.0018713,              0.0018713
                     67,                 1.2665,                0.88601,                 1.1917,                0.73859,                 0.7929,                0.82135,                0.38865,                 1.6764,                 1.1537,                 1.3198,              0.0018693,              0.0018693,              0.0018693
                     68,                 1.2394,                0.87004,                 1.1882,                0.73859,                 0.7929,                0.82135,                0.38865,                 1.6764,                 1.1537,                 1.3198,              0.0018673,              0.0018673,              0.0018673
                     69,                 1.2624,                0.89541,                 1.1899,                0.80478,                0.82632,                0.88096,                0.52241,                 1.3864,                 1.0792,                 1.2104,              0.0018654,              0.0018654,              0.0018654
                     70,                 1.1223,                 0.8809,                 1.1726,                0.80478,                0.82632,                0.88096,                0.52241,                 1.3864,                 1.0792,                 1.2104,              0.0018634,              0.0018634,              0.0018634
                     71,                 1.1328,                0.83901,                 1.1435,                0.79963,                0.83549,                0.88143,                0.58284,                 1.2003,                 1.0417,                 1.1578,              0.0018614,              0.0018614,              0.0018614
                     72,                 1.1666,                0.86965,                 1.2393,                0.79963,                0.83549,                0.88143,                0.58284,                 1.2003,                 1.0417,                 1.1578,              0.0018594,              0.0018594,              0.0018594
                     73,                 1.2203,                 0.9579,                 1.1374,                 0.8079,                0.83361,                0.88207,                0.53142,                  1.289,                0.98475,                 1.1825,              0.0018574,              0.0018574,              0.0018574
                     74,                 1.2543,                0.93591,                   1.27,                 0.8079,                0.83361,                0.88207,                0.53142,                  1.289,                0.98475,                 1.1825,              0.0018555,              0.0018555,              0.0018555
                     75,                 1.3612,                0.86714,                 1.1367,                0.80787,                0.84633,                0.89654,                0.54115,                 1.2362,                0.94538,                 1.1624,              0.0018535,              0.0018535,              0.0018535
                     76,                 1.2002,                0.84119,                 1.1309,                0.80787,                0.84633,                0.89654,                0.54115,                 1.2362,                0.94538,                 1.1624,              0.0018515,              0.0018515,              0.0018515
                     77,                 1.1797,                0.85159,                 1.1361,                0.79539,                0.85969,                0.90175,                0.58496,                 1.2302,                0.89801,                 1.1701,              0.0018495,              0.0018495,              0.0018495
                     78,                 1.1757,                0.85334,                 1.1405,                0.79539,                0.85969,                0.90175,                0.58496,                 1.2302,                0.89801,                 1.1701,              0.0018475,              0.0018475,              0.0018475
                     79,                 1.1754,                0.82516,                 1.1253,                0.83953,                0.81292,                0.90046,                0.60503,                 1.1222,                0.87289,                 1.1136,              0.0018456,              0.0018456,              0.0018456
                     80,                 1.0104,                0.79935,                 1.0931,                0.83953,                0.81292,                0.90046,                0.60503,                 1.1222,                0.87289,                 1.1136,              0.0018436,              0.0018436,              0.0018436
                     81,                 1.3952,                0.82554,                 1.0803,                0.77742,                0.86637,                0.89663,                0.47162,                 1.4009,                  1.027,                  1.197,              0.0018416,              0.0018416,              0.0018416
                     82,                 1.2982,                0.89294,                 1.1284,                0.77742,                0.86637,                0.89663,                0.47162,                 1.4009,                  1.027,                  1.197,              0.0018396,              0.0018396,              0.0018396
